road_id	desc	length
AA000	Kollupitiya - Sri    Jayewardenepura	7.12
AA001	Colombo - Kandy	115.85
AA002	Colombo - Galle - Hambantota -    Wellawaya	317.78
AA003	Peliyagoda - Puttalam	126.31
AA004	Colombo - Ratnapura - Wellawaya -    Batticaloa	430.57
AA005	Peradeniya - Badulla - Chenkaladi	275.64
AA006	Ambepussa - Kurunegala - Trincomalee	198.71
AA007	Avissawella - Hatton - Nuwara Eliya	118.7
AA008	Panadura - Nambapana - Ratnapura	67.77
AA009	Kandy - Jaffna	321.0
AA010	Katugastota - Kurunegala - Puttalam	124.58
AA011	Maradankadawela Habarana    Tirikkondiadimadu	129.36
AA012	Puttalam - Trincomalee	176.99
AA013	Galkulama - Anuradhapura	16.64
AA014	Medawachchiya - Mannar - Talaimannar	113.84
AA015	Batticaloa - Tirikkondiadimadu -    Trincomalee	130.86
AA016	Beragala - Hali-Ela	40.39
AA017	Galle - Deniyaya - Madampe	143.93
AA018	Pelmadulla - Embilipitiya - Nonagama	87.69
AA019	Polgahawela -Kegalle	11.67
AA020	Anuradhapura - Rambewa	14.48
AA021	Kegalle - Bulathkohupitiya -    Karawanella	42.12
AA022	Passara - Moneragala	34.11
AA023	Wellawaya - Ella - Kumbalwela	30.57
AA024	Matara - Akuressa	20.11
AA025	Siyambalanduwa - Damana - Ampara	57.12
AA026	Kandy - Mahiyangana - Padiyatalawa	105.23
AA027	Ampara - Uhana - MahaOya	57.92
AA028	Padeniya - Anuradhapura	80.52
AA029	Vavuniya - Horowopotana	46.02
AA030	Vavuniya - Parayanalankulam	35.8
AA031	Karativu - Ampara	24.14
AA032	Navakkuli - Kerativu - Mannar	98.37
AA033	Ja-Ela - Ekala - Gampaha - Yakkala	17.02
AA034	Mankulam - Mullaitivu	49.25
AA035	Paranthan - Kachchai - Mullaitivu	52.13
AB001	Ampara - Inginiyagala	19.79
AB002	Anuradhapura New Town Roads	12.66
AB003	Approach Road to Gampola Bridge	0.48
AB004	Approach Road to Kaduwela Bridge	0.77
AB005	Approach Road to Sri Jayewardenepura    Hospital	2.46
AB006	Avissawella Town Road	0.06
AB007	Balangoda By Pass	1.13
AB008	Bandarawela By Pass	0.51
AB009	Canada Friend-ship Road	2.4
AB010	Colombo - Hanwella Low Level Road	24.94
AB011	Galle Road New Deviation (Cross Junc.    to Egoda Uyana)	6.98
AB012	Galle - Marine Drive	1.22
AB013	Gampola - Nawalapitiya	17.54
AB014	Hospital - Esplanade road, Ratnapura	1.66
AB015	Inner ring Road 	3.8
AB016	Jaffna - Kankesanturai	18.5
AB017	Jaffna - Manipay - Karainagar	27.21
AB018	Jaffna - Palali	17.3
AB019	Jaffna - Pannai - Kayts	19.31
AB020	Jaffna - Point Pedro	33.79
AB021	Jaffna - Ponnalai - Point Pedro	55.38
AB022	Jail Road, Hambantota	0.43
AB023	Kalattawa - Matale Junction	6.44
AB024	Link Road -- Dambulla	1.0
AB025	Lion Pillar - Sri Maha Bodhi Road	1.21
AB026	Matale - Udupihilla	6.03
AB027	Old Colombo - Galle Road, Panadura	1.9
AB028	Old Colombo - Puttalam Road, Ja Ela	0.95
AB029	Pasyala - Giriulla	19.31
AB030	Poonakary - Sangupiddy	8.85
AB031	Puloly - Kodikamam - Kachchai	18.91
AB032	Puttur - Meesalai	13.68
AB033	Samanturai village Road	1.85
AB034	Sea Street, Galle	0.16
AB035	Section A - B NEW TOWN ROAD, Ratnapura	1.85
AB036	Thalapitiya road, Galle	0.98
AB037	Upper Gampola Road	2.57
AB038	Valachchenai - Nasavantivu - Nawaladi	5.12
AB039	Valukkairaru - Pungudutivu -    Kurikadduwan	24.54
AB040	Wattala Deviation	0.64
AB041	Weligama By Pass	4.18
AB042	Getambe Kandy By Pass	3.8
AB043	Wellawaya By Pass	1.15
AB044	Mahiyangana - Dimbulagala - Dalukkane	72.6
AB045	Avissawela By pass	0.88
AC001	Approach Road to Independence    Memorial	1.61
AC002	Bauddhaloka Mawatha (Buller's Road)	2.77
AC003	Central Road	0.6
AC004	Cotta Road up to City Limit	1.37
AC005	Danister De Silva Mawatha (Baseline    Road)	2.56
AC006	D.R.Wijewardana Mawatha (McCallum    Road)	1.9
AC007	D.S.Senanayake Mawatha (Kanatta Road)	0.53
AC008	Elvitigala Mawatha (Narahenpita Road -    Kanatta Junc.)	1.88
AC009	Fifth Cross Street	0.32
AC010	Gas Work street	0.34
AC011	George R De Silva Mawatha (Skinners's    Road)	1.09
AC012	Havelock Road - Maya Avenue Junction    to Pamankada Bridge	1.13
AC013	Jayantha Weerasekara Mawatha    (Drieberg's avenue)	0.77
AC014	Layards Broadway road - Barber Street    to Prince of Wales Avenue	0.26
AC015	Lotus Road	0.93
AC016	Maha Vidyala Mawatha (Barber Street)	0.53
AC017	Main Street from Lotus road to    Reclamation road	0.23
AC018	Maligawatta Road - Jayantha    Weerasekera Mw. to Sri Saddhamma Mw.	0.27
AC019	Maradana Road	2.59
AC020	N.H.M.Abdul Cader Mawatha (Reclamation    road)	0.51
AC021	Pamankada Road	0.32
AC022	Panchikawatta Road - Maradana Road to    Janaytha Weerasekara Mw.	0.14
AC023	Part of Sri Ramanathan Mw. - (K'boam St.    to Skinnders's rd. junc.)	0.31
AC024	Prince of Wales Avenue	2.25
AC025	Railway Road	0.32
AC026	Sea Beach Road	0.45
AC027	Sri Dharmarama Mawatha (Albion Road)	0.48
AC028	Sri Saddharma Mawatha (Ingram Road)	0.88
AC029	Sri Sangaraja Mawatha (Skinner's Road    [South])	0.93
AC030	Sri Sumanatissa Mawatha (Armour    Street)	0.66
AC031	St. Anthony's Mawatha (Kochchikade    Road)	0.34
AC032	W.A. de Silva Mawatha (High Street)	0.92
B001	Akkaraipattu -    Warapathanchenai	20.92
B002	Akkaraipattu -    Sagamam	18.5
B003	Akuressa -    Kamburupitiya	13.27
B004	Akuressa - Ketanwila	5.63
B005	Aladeniya - Iriyagama	9.65
B006	Alakolanga -    Pottepitiya	9.25
B007	Alawatugoda -    Ankumbura - Keppetigala	14.79
B008	Alawwa - Dampelessa	14.64
B009	Alawwa - Maharagama	14.63
B010	Allai Kantale	41.03
B011	Allan Avenue,    Dehiwela	1.96
B012	Aluthgama - Wigoda	8.05
B013	Alvai - Nelliady -    Tunnalai	8.53
B014	Ambalangoda -    Elpitiya - Pitigala	29.36
B015	Ambatenne - Bokkawela    - Arambekade	19.9
B016	Ampara Air Port Road	4.83
B017	Ampara Town Roads	30.57
B018	Ampilanthurai -    Veeramunai	26.38
B019	Anamaduwa - Uswewa -    Galgamuwa	39.02
B020	Ananda Avenue	0.24
B021	Andalla - Tissa	6.63
B022	Anderson Avenue	0.11
B023	Approach Road to    Admiralty Building	28.32
B024	Approach Road to    Aerodrome Ratmalana	2.93
B025	Approach Road to    Laxapana Power House	11.54
B026	Approach Road to    Midford Power House	0.97
B027	Approach Roads to    Railway Stations	17.68
B028	Approach Road to    Wilpattu Sanctuary	7.74
B029	Approach Roads to    University Buildings	19.31
B030	Approach Roads to    Public Buildings	21.54
B031	Arasady - Malkampiddy	5.23
B032	Attidiya - Mt.Lavinia	2.41
B033	Avarangal -    Thondamanaru	6.03
B034	Ayagama - Kukulegama	16.89
B035	Badalkumbura -    Buttala - Sella Kataragama	56.32
B036	Badulla - Karametiya    - Andaulpotha	48.1
B037	Baladaksha Mawatha,    Galle	0.56
B038	Balangoda - Bowatte -    Kaltota	28.96
B039	Balangoda - Rassagala    - Uwella	13.26
